titre,famille_medicament,cas_utilisation,interraction_substance,grossesse_allaitement_fertilite,effet_indesirable,contre_indication,posologie
ABUFÈNE,Acide aminé,"Ce médicament contient un acide aminé, une substance non hormonale, qui soulagerait certains troubles de la ménopause.Il est utilisé dans le traitement des bouffées de chaleur de la ménopause.",,Ce médicament n'a pas lieu d'être utilisé chez la femme enceinte ou qui allaite.,"Très rarement : fourmillements passagers, le plus souvent au niveaux des extrémités des jambes et des bras.Exceptionnellement : démangeaisons, éruption cutanée nécessitant l'arrêt des prises.","Ce médicament ne doit pas être utilisé en cas d'allergie au gluten (autre que la maladie cœliaque).Ce traitement, disponible sans ordonnance, peut être utilisé sur les conseils de votre pharmacien ; néanmoins, en cas d'aggravation ou de persistance des symptômes, consultez votre médecin.","Ce médicament doit être pris de préférence avant les repas.Posologie usuelle :1 ou 2 comprimés par jour. Si nécessaire, la posologie peut être augmentée à 3 comprimés par jour.La durée du traitement est de 5 à 10 jours jusqu'à disparition des troubles. Le traitement peut être renouvelé en cas de réapparition des bouffées de chaleur.La boîte de 30 comprimés peut être en accès libre dans certaines pharmacies ; néanmoins, n'hésitez pas à faire valider votre choix par votre pharmacien"
ACÉTYLCYSTÉINE ARROW,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Réaction allergique cutanée (démangeaisons, éruption cutanée, urticaire...).Douleurs d'estomac, nausées, diarrhée, nécessitant une diminution des doses.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé chez les enfants de moins de 2 ans.Ce médicament ne peut être utilisé en cas de bronchite chronique que sur avis médical.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.Les comprimés contiennent du sel (sodium)  en quantité notable.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le comprimé doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 comprimé, 3 fois par jour.Enfant de 2 à 7 ans : 1 comprimé, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE BGR CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques.,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Peu fréquents  (moins de 1 % des personnes) :  nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles, démangeaisons, éruption cutanée, urticaire, œdème de Quincke, baisse de la pression artérielle, tachycardie.Rares (moins de 0,1 % des personnes) : difficulté à respirer, digestion difficile.Très rares (moins de 0,01 % des personnes) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé dans les cas suivants :enfant de moins de 2 ans,phénylcétonurie (présence d'aspartam).Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu des sachets doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour (matin, midi et milieu d'après-midi).Enfant de 2 à 7 ans : 1 sachet, 2 fois par jourLe traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE BIOGARAN CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Réaction allergique cutanée (démangeaisons, éruption cutanée, urticaire...).Douleurs d'estomac, nausées, diarrhée, nécessitant une diminution des doses.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé chez les enfants de moins de 2 ans.Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.Ces sachets contiennent du sucre (saccharose) en quantité notable.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu du sachet doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE EG,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques.,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Peu fréquents  (moins de 1 % des personnes) :  nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles, démangeaisons, éruption cutanée, urticaire, œdème de Quincke, baisse de la pression artérielle, tachycardie.Rares (moins de 0,1 % des personnes) : difficulté à respirer, digestion difficile.Très rares (moins de 0,01 % des personnes) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé chez l'enfant de moins de 2 ans.Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu des sachets doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE EG LABO CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques.,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Peu fréquents  (moins de 1 % des personnes) :  nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles, démangeaisons, éruption cutanée, urticaire, œdème de Quincke, baisse de la pression artérielle, tachycardie.Rares (moins de 0,1 % des personnes) : difficulté à respirer, digestion difficile.Très rares (moins de 0,01 % des personnes) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé dans les cas suivants :enfant de moins de 2 ans,phénylcétonurie (présence d'aspartam).Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu des sachets doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE SANDOZ CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et celle d'antibiotiques.,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Peu fréquents  (1 à 10 % des patients) :  démangeaisons, éruption cutanée, urticaire, baisse de la pression artérielle, accélération du rythme cardiaque, nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles.Rares (moins de 1 % des patients) : difficulté à respirer, digestion difficile.Très rares (moins de 0,1 % des patients) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé dans les cas suivants :enfant de moins de 2 ans,phénylcétonurie (présence d'aspartam).Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu des sachets doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE RATIOPHARM CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Réaction allergique cutanée (démangeaisons, éruption cutanée, urticaire...).Douleurs d'estomac, nausées, diarrhée, nécessitant une diminution des doses.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé chez les enfants de moins de 2 ans.Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.Ces sachets contiennent du sucre (saccharose) en quantité notable.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu du sachet doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE VIATRIS CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques.,Grossesse :L'effet de ce médicament pendant la grossesse est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.Allaitement :L'utilisation de ce médicament est possible pendant l'allaitement.,"Peu fréquents  (moins de 1 % des personnes) :  nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles, démangeaisons, éruption cutanée, urticaire, œdème de Quincke, baisse de la pression artérielle, tachycardie.Rares (moins de 0,1 % des personnes) : difficulté à respirer, digestion difficile.Très rares (moins de 0,01 % des personnes) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé chez les enfants de moins de 2 ans.Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.Ces sachets contiennent du sucre (saccharose) en quantité notable.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu du sachet doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
ACÉTYLCYSTÉINE ZENTIVA CONSEIL,Fluidifiant bronchique,"Ce médicament fluidifie les sécrétions (mucosités) présentes dans les bronches. Il facilite leur évacuation par la toux.Il est utilisé en cas de toux grasse avec difficulté à cracher, notamment au cours des bronchites aiguës.",Informez votre médecin si vous prenez un dérivé nitré ou un médicament contenant de la carbamazépine ou du charbon.Un délai d'au moins 2 heures doit être respecté entre la prise de ce médicament et la prise d'antibiotiques,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.,"Peu fréquents  (moins de 1 % des personnes) :  nausées, vomissements, douleur d'estomac, inflammation de la bouche, diarrhée, maux de tête, bourdonnement d'oreilles, démangeaisons, éruption cutanée, urticaire, œdème de Quincke, baisse de la pression artérielle, tachycardie.Rares (moins de 0,1 % des personnes) : difficulté à respirer, digestion difficile.Très rares (moins de 0,01 % des personnes) : choc anaphylactique, saignements, réaction cutanée bulleuse potentiellement grave.Aggravation de l'encombrement des bronches et risque de complications respiratoires, notamment chez les nourrissons.","Ce médicament ne doit pas être utilisé dans les cas suivants :enfant de moins de 2 ans,phénylcétonurie (présence d'aspartam).Ce médicament ne peut être utilisé que sur avis médical en cas de bronchite chronique chez l'adulte ou de maladie respiratoire chronique chez l'enfant.Des précautions sont nécessaires en cas d'ulcère de l'estomac ou du duodénum.N'utilisez pas d'antitussif en plus de ce médicament sans l'avis de votre médecin ou de votre pharmacien.En cas de fièvre, de sécrétions qui persistent au-delà de quelques jours ou qui se colorent, consultez votre médecin.","Ce médicament peut être pris indifféremment au moment ou en dehors des repas.Le contenu des sachets doit être dissous dans un demi-verre d'eau.Posologie usuelle :Adulte et enfant de plus de 7 ans : 1 sachet, 3 fois par jour.Enfant de 2 à 7 ans : 1 sachet, 2 fois par jour.Le traitement peut être interrompu dès l'amélioration des symptômes. Sa durée ne doit pas dépasser 8 à 10 jours sans avis médical.Le médicament peut parfois présenter une légère odeur soufrée : elle est due à l'acétylcystéine et ne doit pas vous inquiéter.Fumer, ou être exposé à la fumée des autres, est un frein important à l'évacuation des mucosités.Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup.Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale."
